Collection,Asset,Primary Owner,Second Owner,Sys Admin,Label,STIGs,Benchmarks,Assessed,Submitted,Accepted,Rejected,CAT3,CAT2,CAT1
NP_C10-NCCM-W_7372_Zone B,NP0139WK014469,,,,,14,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,5,43,3
NP_C10-NCCM-W_7372_Zone B,NP0139WK400799,,,,,14,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,3,42,3
NP_C10-NCCM-W_7372_Zone B,NP0170NB402212,,,,,14,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,3,41,3
NP_C10-NCCM-W_7372_Zone B,NP0443NB401381,,,,,11,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,MS_Dot_Net_Framework,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,6,9,3
NP_C10-NCCM-W_7372_Zone B,NP0443NB402416,,,,,12,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,MS_Dot_Net_Framework,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,7,53,3
NP_C10-NCCM-W_7372_Zone B,NP0443WK401289,,,,,14,"Adobe_Acrobat_Pro_DC_Continuous_STIG,Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,4,34,2
NP_C10-NCCM-W_7372_Zone B,NP0443WK401290,,,,,14,"Adobe_Acrobat_Pro_DC_Continuous_STIG,Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Lync_2013,Microsoft_Office_System_2013,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,12,20,2
NP_C10-NCCM-W_7372_Zone B,NP0443WK401995,,,,,12,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,1,14,3
NP_C10-NCCM-W_7372_Zone B,NP0443WK402000,,,,,13,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,MS_Dot_Net_Framework,IE_11_STIG,JRE_8_and_Windows_STIG,Microsoft_Access_2013,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",85%,0%,0%,0%,3,10,1
NP_C10-NCCM-W_7372_Zone B,NP0443WK402002,,,,,12,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,MS_Dot_Net_Framework,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,3,11,1
NP_C10-NCCM-W_7372_Zone B,NP0443WK402003,,,,,12,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,MS_Dot_Net_Framework,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,3,10,1
NP_C10-NCCM-W_7372_Zone B,NP0443WK402005,,,,,11,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,MS_Dot_Net_Framework,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,3,10,2
NP_C10-NCCM-W_7372_Zone B,NP0443WK403355,,,,,13,"Adobe_Acrobat_Pro_DC_Continuous_STIG,Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,14,21,1
NP_C10-NCCM-W_7372_Zone B,NP0443WK403360,,,,,14,"Adobe_Acrobat_Pro_DC_Continuous_STIG,Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,14,20,2
NP_C10-NCCM-W_7372_Zone B,NP0443WK403361,,,,,12,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,MS_Dot_Net_Framework,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,3,11,2
NP_C10-NCCM-W_7372_Zone B,NP0443WK403362,,,,,11,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,MS_Dot_Net_Framework,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,3,9,3
NP_C10-NCCM-W_7372_Zone B,NP0443WK403363,,,,,11,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,MS_Dot_Net_Framework,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,1,7,2
NP_C10-NCCM-W_7372_Zone B,NP0443WK413595,,,,,12,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,MS_Dot_Net_Framework,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,4,11,1
NP_C10-NCCM-W_7372_Zone B,NP0443WK413596,,,,,10,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,MS_Dot_Net_Framework,IE_11_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,4,11,1
NP_C10-NCCM-W_7372_Zone B,NP0479NB002264,,,,,13,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,5,44,2
NP_C10-NCCM-W_7372_Zone B,NP0479WK002190,,,,,14,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,3,43,3
NP_C10-NCCM-W_7372_Zone B,NP0479WK005173,,,,,14,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,3,45,3
NP_C10-NCCM-W_7372_Zone B,NP0479WK712466,,,,,13,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,5,43,2
NP_C10-NCCM-W_7372_Zone B,NP05399165,,,,,13,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,2,9,2
NP_C10-NCCM-W_7372_Zone B,NP0902NB417902,,,,,10,"MS_Dot_Net_Framework,IE_11_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2016,Microsoft_Office_System_2016,Microsoft_OneDrive,Microsoft_PowerPoint_2016,Microsoft_Word_2016,MS_Windows_10_STIG",98%,51%,0%,0%,14,284,8
NP_C10-NCCM-W_7372_Zone B,NP1265WK414429,,,,,13,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2016,Microsoft_Office_System_2016,Microsoft_OneDrive,Microsoft_PowerPoint_2016,Microsoft_Word_2016,MS_Windows_10_STIG",80%,0%,0%,0%,3,6,2
NP_C10-NCCM-W_7372_Zone B,NP1265WK414434,,,,,13,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,5,44,2
NP_C10-NCCM-W_7372_Zone B,NP1267NB405016,,,,,10,"MS_Dot_Net_Framework,IE_11_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2016,Microsoft_Office_System_2016,Microsoft_OneDrive,Microsoft_PowerPoint_2016,Microsoft_Word_2016,MS_Windows_10_STIG",83%,0%,0%,0%,1,42,2
NP_C10-NCCM-W_7372_Zone B,NP1267WK414403,,,,,14,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,5,44,2
NP_C10-NCCM-W_7372_Zone B,NP1274WK402164,,,,,14,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,JRE_8_and_Windows_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,5,41,3
NP_C10-NCCM-W_7372_Zone B,NPRI75CAD18,,,,,13,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,5,61,4
NP_C10-NCCM-W_7372_Zone B,W34-RFDACS03,,,,,13,"Adobe_Acrobat_Reader_DC_Continuous_Track_STIG,Google_Chrome_Current_Windows,MS_Dot_Net_Framework,MOZ_Firefox_STIG,IE_11_STIG,MS_Defender_Antivirus,MS_Edge_STIG,Microsoft_Excel_2013,Microsoft_Office_System_2013,Microsoft_OneDrive,Microsoft_PowerPoint_2013,Microsoft_Word_2013,MS_Windows_10_STIG",84%,0%,0%,0%,3,36,2
NP_C10-NewPortal_2862_,C27APLNWPT14,,,,,5,"HBSS_PolicyAuditor,IE_11_STIG,McAfee_ENS_10-x_STIG,MS_Dot_Net_Framework,Windows_Server_2019_STIG",54%,0%,0%,0%,1,18,0
NP_C10-NewPortal_2862_,C27APLNWPT71,,,,,9,"HBSS_PolicyAuditor,IE_11_STIG,IIS_10-0_Server_STIG,IIS_10-0_Site_STIG,McAfee_ENS_10-x_STIG,Microsoft_SharePoint_Server_2013,MS_Dot_Net_Framework,VMW_vSphere_6-7_Virtual_Machine_STIG,Windows_Server_2016_STIG",57%,0%,0%,0%,1,5,0
NP_C10-NewPortal_2862_,C27APLNWPT72,,,,,9,"HBSS_PolicyAuditor,IE_11_STIG,IIS_10-0_Server_STIG,IIS_10-0_Site_STIG,McAfee_ENS_10-x_STIG,Microsoft_SharePoint_Server_2013,MS_Dot_Net_Framework,VMW_vSphere_6-7_Virtual_Machine_STIG,Windows_Server_2016_STIG",57%,0%,0%,0%,1,5,0
NP_C10-NewPortal_2862_,C27COMMVNWPT01,,,,,8,"HBSS_PolicyAuditor,IE_11_STIG,IIS_10-0_Server_STIG,IIS_10-0_Site_STIG,McAfee_ENS_10-x_STIG,MS_Dot_Net_Framework,VMW_vSphere_6-7_Virtual_Machine_STIG,Windows_Server_2019_STIG",55%,2%,0%,0%,0,11,0
NP_C10-NewPortal_2862_,C27COMMVNWPT02,,,,,6,"HBSS_PolicyAuditor,IE_11_STIG,McAfee_ENS_10-x_STIG,MS_Dot_Net_Framework,VMW_vSphere_6-7_Virtual_Machine_STIG,Windows_Server_2019_STIG",57%,0%,0%,0%,1,2,0
NP_C10-NewPortal_2862_,C27COMMVNWPT03,,,,,7,"HBSS_PolicyAuditor,IE_11_STIG,McAfee_ENS_10-x_STIG,MS_Defender_Antivirus,MS_Dot_Net_Framework,VMW_vSphere_6-7_Virtual_Machine_STIG,Windows_Server_2019_STIG",60%,0%,0%,0%,0,1,0
NP_C10-NewPortal_2862_,C27COMMVNWPT04,,,,,7,"HBSS_PolicyAuditor,IE_11_STIG,McAfee_ENS_10-x_STIG,MS_Defender_Antivirus,MS_Dot_Net_Framework,VMW_vSphere_6-7_Virtual_Machine_STIG,Windows_Server_2019_STIG",60%,0%,0%,0%,0,1,0
NP_C10-NewPortal_2862_,C27COMMVNWPT05,,,,,6,"HBSS_PolicyAuditor,IE_11_STIG,McAfee_ENS_10-x_STIG,MS_Defender_Antivirus,MS_Dot_Net_Framework,Windows_Server_2019_STIG",59%,0%,0%,0%,0,1,0
NP_C10-NewPortal_2862_,C27DATNWPT71,,,,,7,"HBSS_PolicyAuditor,HBSS_Rogue_Sensor,IE_11_STIG,McAfee_ENS_10-x_STIG,MS_Dot_Net_Framework,VMW_vSphere_6-7_Virtual_Machine_STIG,Windows_Server_2016_STIG",58%,0%,0%,0%,1,3,0
NP_C10-NewPortal_2862_,C27DATNWPT72,,,,,6,"HBSS_PolicyAuditor,IE_11_STIG,McAfee_ENS_10-x_STIG,MS_Dot_Net_Framework,VMW_vSphere_6-7_Virtual_Machine_STIG,Windows_Server_2016_STIG",58%,0%,0%,0%,1,3,0
NP_C10-NewPortal_2862_,C27DDATNWPT71,,,,,6,"HBSS_PolicyAuditor,IE_11_STIG,McAfee_ENS_10-x_STIG,MS_Dot_Net_Framework,VMW_vSphere_6-7_Virtual_Machine_STIG,Windows_Server_2016_STIG",58%,0%,0%,0%,1,8,0
NP_C10-NewPortal_2862_,C27DWEBNWPT71,,,,,9,"HBSS_PolicyAuditor,IE_11_STIG,IIS_10-0_Server_STIG,IIS_10-0_Site_STIG,McAfee_ENS_10-x_STIG,Microsoft_SharePoint_Server_2013,MS_Dot_Net_Framework,VMW_vSphere_6-7_Virtual_Machine_STIG,Windows_Server_2016_STIG",57%,0%,0%,0%,2,11,0
NP_C10-NewPortal_2862_,C27WEBNWPT71,,,,,9,"HBSS_PolicyAuditor,IE_11_STIG,IIS_10-0_Server_STIG,IIS_10-0_Site_STIG,McAfee_ENS_10-x_STIG,Microsoft_SharePoint_Server_2013,MS_Dot_Net_Framework,VMW_vSphere_6-7_Virtual_Machine_STIG,Windows_Server_2016_STIG",57%,0%,0%,0%,1,6,0
NP_C10-NewPortal_2862_,C27WEBNWPT72,,,,,9,"HBSS_PolicyAuditor,IE_11_STIG,IIS_10-0_Server_STIG,IIS_10-0_Site_STIG,McAfee_ENS_10-x_STIG,Microsoft_SharePoint_Server_2013,MS_Dot_Net_Framework,VMW_vSphere_6-7_Virtual_Machine_STIG,Windows_Server_2016_STIG",57%,0%,0%,0%,3,7,0
NP_C10-NewPortal_2862_,NPRI54WEB23,,,,,9,"Application_Security_Development_STIG,HBSS_PolicyAuditor,IE_11_STIG,IIS_8-5_Server_STIG,IIS_8-5_Site_STIG,McAfee_ENS_10-x_STIG,MS_Defender_Antivirus,MS_Dot_Net_Framework,Windows_2012_MS_STIG",57%,0%,0%,0%,1,6,1
NP_C10-RDT&E-CSS_7374_Zone B,902HCS02,,,,,4,"MS_Dot_Net_Framework,IE_11_STIG,VMware_Horizon_7-13_Connection_Server_STIG,Windows_Server_2016_STIG",94%,91%,0%,0%,0,13,3
NP_C10-RDT&E-CSS_7374_Zone B,NPA0APPSCN01,,,,,4,"MS_Dot_Net_Framework,IE_11_STIG,IIS_10-0_Server_STIG,Windows_Server_2016_STIG",92%,89%,4%,0%,2,14,0
NP_C10-RDT&E-CSS_7374_Zone B,NPA0ARCGIS01,,,,,4,"Google_Chrome_Current_Windows,MS_Dot_Net_Framework,IE_11_STIG,Windows_Server_2016_STIG",95%,94%,0%,0%,0,2,0
NP_C10-RDT&E-CSS_7374_Zone B,NPA0ARCGIS02,,,,,4,"Google_Chrome_Current_Windows,MS_Dot_Net_Framework,IE_11_STIG,Windows_Server_2019_STIG",99%,98%,0%,0%,0,3,1
NP_C10-RDT&E-CSS_7374_Zone B,NPA0ARCGISDATA,,,,,4,"IE_11_STIG,Windows_Server_2019_STIG,MS_Defender_Antivirus,MS_Dot_Net_Framework",99%,99%,9%,0%,0,1,0
NP_C10-RDT&E-CSS_7374_Zone B,NPA0ARCGISPRTL,,,,,5,"Google_Chrome_Current_Windows,MS_Dot_Net_Framework,IE_11_STIG,MS_Defender_Antivirus,Windows_Server_2019_STIG",99%,98%,8%,0%,0,2,1
NP_C10-RDT&E-CSS_7374_Zone B,NPA0ARCGISSTORE,,,,,5,"Google_Chrome_Current_Windows,MS_Dot_Net_Framework,IE_11_STIG,MS_Defender_Antivirus,Windows_Server_2019_STIG",99%,98%,8%,0%,0,1,1
NP_C10-RDT&E-CSS_7374_Zone B,NPA0ASDLENEL02,,,,,3,"MS_Dot_Net_Framework,Windows_Server_2019_STIG,IE_11_STIG",99%,98%,0%,0%,0,4,1
NP_C10-RDT&E-CSS_7374_Zone B,NPA0KEYCLOAK,,,,,4,"Google_Chrome_Current_Windows,MS_Dot_Net_Framework,IE_11_STIG,Windows_Server_2019_STIG",99%,98%,0%,0%,0,1,1
NP_C10-RDT&E-CSS_7374_Zone B,NPA0VSMART01,,,,,4,"MS_Dot_Net_Framework,IE_11_STIG,IIS_10-0_Server_STIG,Windows_Server_2019_STIG",96%,92%,4%,0%,3,14,0
NP_C10-RDT&E-CSS_7374_Zone B,NPA3VDIP1,,,,,3,"MS_Dot_Net_Framework,IE_11_STIG,Windows_Server_2019_STIG",99%,99%,0%,0%,0,0,0
NP_C10-RDT&E-CSS_7374_Zone B,NPA3VDIP2,,,,,3,"MS_Dot_Net_Framework,Windows_Server_2019_STIG,IE_11_STIG",99%,99%,0%,0%,0,0,0
NP_C10-RDT&E-CSS_7374_Zone B,NPA7DFS01,,,,,3,"MS_Dot_Net_Framework,IE_11_STIG,Windows_Server_2016_STIG",95%,95%,0%,0%,0,0,0
NP_C10-RDT&E-CSS_7374_Zone B,NPA7DFS02,,,,,3,"MS_Dot_Net_Framework,IE_11_STIG,Windows_Server_2016_STIG",95%,95%,0%,0%,0,0,0
NP_C10-RDT&E-CSS_7374_Zone B,UVTC-GATEKEEPER,,,,,0,,0%,0%,0%,0%,0,0,0
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPA0COMMV01-NPA0COMMV01-COMMVAULT,,,,,1,MS_SQL_Server_2016_Instance_STIG,96%,91%,86%,5%,1,22,2
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPA0SOLAR01-SolarWinds NetPerfMon-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,100%,0%,0,0,0
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPA0SQLAPP01-NPA0SQLAPP01-_master,,,,,1,MS_SQL_Server_2016_Database_STIG,100%,100%,100%,0%,0,1,0
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPA0SQLAPP01-NPA0SQLAPP01-NA,,,,,1,MS_SQL_Server_2016_Instance_STIG,100%,100%,100%,0%,0,6,0
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPA2NDES01-Default Web Site-NA,,,,,1,IIS_10-0_Site_STIG,100%,100%,100%,0%,0,9,0
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPA4ASDSQLAG01-NPA4ASDSQLAG01-SQLSERVER2017,Charles H.,,Matt Albertella,,1,MS_SQL_Server_2016_Instance_STIG,100%,100%,100%,0%,1,7,1
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPA4ASDSQLAG01-NPA4ASDSQLAG01-SQLSERVER2017_master,,,,,1,MS_SQL_Server_2016_Database_STIG,100%,100%,100%,0%,0,1,0
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPA4ASDSQLDEV01-NPA4ASDSQLDEV01-SQLDEV01,Charles H.,,Matt Albertella,,1,MS_SQL_Server_2016_Instance_STIG,100%,100%,100%,0%,1,6,0
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPA4ASDSQLDEV01-NPA4ASDSQLDEV01-SQLDEV01_master,,,,,1,MS_SQL_Server_2016_Database_STIG,100%,100%,100%,0%,0,1,0
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPA4ORACLE02,,,,ORACLE,1,Oracle_Database_12c_STIG,99%,99%,99%,0%,0,3,1
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPA4SQLAG01-NPA4SQLAG01-SQLSERVER2017,Charles H.,,Matt Albertella,,1,MS_SQL_Server_2016_Instance_STIG,100%,100%,100%,0%,1,8,1
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPA4SQLAG01-NPA4SQLAG01-SQLSERVER2017_master,,,,,1,MS_SQL_Server_2016_Database_STIG,100%,100%,100%,0%,0,1,0
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPA4SQLAG01-NPA4SQLAG01-VDISQL,Charles H.,,Matt Albertella,,1,MS_SQL_Server_2016_Instance_STIG,100%,100%,100%,0%,1,8,0
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPA4SQLAG02-NPA4SQLAG02-SQLSERVER2017,Charles H.,,Matt Albertella,,1,MS_SQL_Server_2016_Instance_STIG,100%,100%,100%,0%,1,8,0
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPA4SQLAG02-NPA4SQLAG02-SQLSERVER2017_master,,,,,1,MS_SQL_Server_2016_Database_STIG,100%,100%,100%,0%,0,1,0
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPA4SQLAG02-NPA4SQLAG02-VDISQL,Charles H.,,Matt Albertella,,1,MS_SQL_Server_2016_Instance_STIG,100%,100%,100%,0%,1,8,0
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPA4SQLDEV01-NPA4SQLDEV01-SQLSERVER2017,Charles H.,,Matt Albertella,,1,MS_SQL_Server_2016_Instance_STIG,100%,100%,100%,0%,1,6,0
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPA4SQLDEV01-NPA4SQLDEV01-SQLSERVER2017_master,,,,,1,MS_SQL_Server_2016_Database_STIG,100%,100%,100%,0%,0,1,0
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPA4SQLDEV01-NPA4SQLDEV01-SQLTEST,Charles H.,,Matt Albertella,,1,MS_SQL_Server_2016_Instance_STIG,100%,100%,100%,0%,1,6,0
NP_C10-UnclassCore Database/Web_1761_Zone A_,NPA4SQLPRD01-NPA4SQLPRD01-SQLSERVER2017,Charles H.,,Matt Albertella,,1,MS_SQL_Server_2016_Instance_STIG,100%,100%,100%,0%,1,6,0
